gensci,analsci,collsci,pynam,GL_pyscinam,N
MOLLUSCA,BIVALVIA,PECTINIDAE,PLACOPECTEN MAGELLANICUS,Bivalvia,244
ARTHROPODA,DECAPODA,CANCRIDAE,CANCER BOREALIS,Cancridae,1208
ARTHROPODA,DECAPODA,CANCRIDAE,CANCER IRRORATUS,Cancridae,4032
MOLLUSCA,CEPHALOPODA,ABRALIA VERANYI,ABRALIA VERANYI,Cephalopoda,5
MOLLUSCA,CEPHALOPODA,CEPHALOPODA,CEPHALOPODA,Cephalopoda,3277
MOLLUSCA,CEPHALOPODA,CEPHALOPODA,TEUTHOIDEA GLADIUS,Cephalopoda,41
MOLLUSCA,CEPHALOPODA,LOLLIGUNCULA BREVIS,LOLLIGUNCULA BREVIS,Cephalopoda,21
MOLLUSCA,CEPHALOPODA,OCTOPODA,BATHYPOLYPUS ARCTICUS,Cephalopoda,64
MOLLUSCA,CEPHALOPODA,SEMIROSSIA TENERA,SEMIROSSIA TENERA,Cephalopoda,2
MOLLUSCA,CEPHALOPODA,SEPIOLIDAE,ROSSIA MEGAPTERA,Cephalopoda,1
MOLLUSCA,CEPHALOPODA,SEPIOLIDAE,STOLOTEUTHIS LEUCOPTERA,Cephalopoda,2
FISH,CLUPEIDAE,ALOSA AESTIVALIS,ALOSA AESTIVALIS,Clupeidae,26
FISH,CLUPEIDAE,ALOSA PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,Clupeidae,76
FISH,CLUPEIDAE,ALOSA SAPIDISSIMA,ALOSA SAPIDISSIMA,Clupeidae,6
FISH,CLUPEIDAE,BREVOORTIA TYRANNUS,BREVOORTIA TYRANNUS,Clupeidae,17
FISH,CLUPEIDAE,ETRUMEUS TERES,ETRUMEUS TERES,Clupeidae,83
FISH,CLUPEIDAE,CLUPEA HARENGUS,CLUPEA HARENGUS,Clupea harengus,1380
CNIDARIA,CNIDARIA,SCYPHOZOA,AURELIA AURITA,Cnidarians,2
CNIDARIA,CNIDARIA,SCYPHOZOA,SCYPHOZOA,Cnidarians,147
FISH,COTTIDAE,ARTEDIELLUS UNCINATUS,ARTEDIELLUS UNCINATUS,Cottidae,3
FISH,COTTIDAE,HEMITRIPTERUS AMERICANUS,HEMITRIPTERUS AMERICANUS,Cottidae,20
FISH,COTTIDAE,MYOXOCEPHALUS AENAEUS,MYOXOCEPHALUS AENAEUS,Cottidae,23
FISH,COTTIDAE,MYOXOCEPHALUS OCTODECEMSPINOSUS,MYOXOCEPHALUS OCTODECEMSPINOSUS,Cottidae,292
FISH,COTTIDAE,MYOXOCEPHALUS SCORPIUS,MYOXOCEPHALUS SCORPIUS,Cottidae,1
FISH,COTTIDAE,TRIGLOPS MURRAYI,TRIGLOPS MURRAYI,Cottidae,38
ARTHROPODA,DECAPODA,CRANGONIDAE,CRANGON SEPTEMSPINOSA,Crangonidae,4554
ARTHROPODA,DECAPODA,CRANGONIDAE,PONTOPHILUS BREVIROSTRIS,Crangonidae,7
ARTHROPODA,DECAPODA,CRANGONIDAE,PONTOPHILUS NORVEGICUS,Crangonidae,8
ARTHROPODA,DECAPODA,CRANGONIDAE,SABINEA SARSII,Crangonidae,1
ARTHROPODA,DECAPODA,CRANGONIDAE,SCLEROCRANGON BOREAS,Crangonidae,3
ARTHROPODA,CUMACEA,CUMACEA,CYCLASPIS VARIANS,Crustacean shrimp,1
ARTHROPODA,CUMACEA,CUMACEA,DIASTYLIS POLITA,Crustacean shrimp,1
ARTHROPODA,CUMACEA,CUMACEA,DIASTYLIS QUADRISPINOSA,Crustacean shrimp,16
ARTHROPODA,CUMACEA,CUMACEA,DIASTYLIS SCULPTA,Crustacean shrimp,21
ARTHROPODA,CUMACEA,CUMACEA,EUDORELLA EMARGINATA,Crustacean shrimp,5
ARTHROPODA,CUMACEA,CUMACEA,EUDORELLA TRUNCATULA,Crustacean shrimp,1
ARTHROPODA,CUMACEA,CUMACEA,LAMPROPS QUADRIPLICATA,Crustacean shrimp,2
ARTHROPODA,CUMACEA,CUMACEA,LEUCON AMERICANUS,Crustacean shrimp,3
ARTHROPODA,CUMACEA,CUMACEA,PETALOSARSIA DECLIVIS,Crustacean shrimp,4
ARTHROPODA,CUMACEA,CUMACEA,PSEUDOLEPTOCUMA MINOR,Crustacean shrimp,22
ARTHROPODA,STOMATOPODA,STOMATOPODA,NEBALIACEA,Crustacean shrimp,1
ARTHROPODA,STOMATOPODA,STOMATOPODA,PLATYSQUILLA ENODIS,Crustacean shrimp,3
ARTHROPODA,STOMATOPODA,STOMATOPODA,SQUILLA SP,Crustacean shrimp,1
ARTHROPODA,STOMATOPODA,STOMATOPODA,TANAIDAE,Crustacean shrimp,4
ARTHROPODA,CIRRIPEDIA,CIRRIPEDIA,BALANUS SP,Crustacea,2
ARTHROPODA,CIRRIPEDIA,CIRRIPEDIA,CIRRIPEDIA,Crustacea,38
CTENOPHORA,CTENOPHORA,CTENOPHORA,CTENOPHORA,Ctenophora,8119
CTENOPHORA,CTENOPHORA,CTENOPHORA,MERTENSIA OVUM,Ctenophora,2
CTENOPHORA,CTENOPHORA,CTENOPHORA,PLEUROBRACHIA PILEUS,Ctenophora,42
ARTHROPODA,DECAPODA,CALLINECTES SAPIDUS,CALLINECTES SAPIDUS,Decapoda crabs,4
ARTHROPODA,DECAPODA,DECAPODA CRAB,ACANTHOCARPUS ALEXANDRI,Decapoda crabs,20
