"LOGGED_SPECIES_NAME","SVSPP"
"Vermilion snapper","596"
"Tomtate","627"
"White grunt","629"
"Whitebone porgy","634"
"Porgy and pinfish uncl","643"
"Jackknife-fish","648"
"Cubbyu","650"
"Wrasse uncl","683"
"Searobin uncl","174"
"Banded drum","651"
"Grunt uncl","630"
"Spottail pinfish","639"
"Spotfin butterflyfish","662"
"Reef butterflyfish","663"
"Snake eel uncl","425"
"Spanish slipper lobster","303"
"Spotted moray","386"
"Short bigeye","557"
"Parrotfish uncl","688"
"Bandtail puffer","845"
"Blue angelfish","665"
"Scrawled cowfish","839"
"Spoon-nose eel uncl","399"
"Pancake batfish","449"
"Shortfin searobin","760"
"Spotfin dragonet","735"
"Shark uncl","011"
"Requiem shark uncl","361"
"Palespotted eel","396"
"Etropus uncl","794"
"Dwarf herring","427"
"Redeye gaper","862"
"Snubnose eel","064"
"Three-eye flounder","774"
"Red lizardfish","438"
"Jolthead porgy","632"
"Eyed flounder","777"
"Queen angelfish","666"
"Saucereye porgy","633"
"Scamp","542"
"Misty grouper","863"
"Shortjaw lizardfish","434"
"Spiny searobin","764"
"Spotfin flounder","783"
"Spottail tonguefish","827"
"Spotted scorpionfish","758"
"Sharksucker","564"
"Ocellated flounder","775"
"Offshore lizardfish","437"
"Slender searobin","763"
"Ocean surgeon","740"
"Harvestfish","749"
"Honeycomb cowfish","838"
"Squirrelfish","478"
"Black grouper","540"
"Snapper uncl","597"
"Unicorn filefish","831"
"Doctorfish","741"
"Moray uncl","388"
"Yellowtail reeffish","670"
"Peacock flounder","776"
"Blotched cusk-eel","458"
"Spotted whiff","781"
"Atlantic cutlassfish","126"
"Atlantic thread herring","428"
"Atlantic brief squid","504"
"Atlantic bumper","573"
"Silver seatrout","646"
"Guaguanche","695"
"Horse-eye jack","571"
"Bigeye searobin","767"
"Shrimp flounder","787"
"Puffer uncl","861"
"Conger eel uncl","390"
"Singlespot frogfish","446"
"Goby flathead","698"
"Gafftopsail catfish","442"
"Great barracuda","693"
"Cero","746"
"Hogchoker","118"
"Bonnethead shark","364"
"Hardhead catfish","441"
"Silver perch","148"
"White mullet","690"
"Blackcheek tonguefish","825"
"Spotted spoon-nose eel","394"
"Yellow jack","569"
"Lane snapper","592"
"Great hammerhead shark","363"
"Shrimp eel","395"
"Atlantic needlefish","471"
"Lined seahorse","492"
"Red drum","654"
"Flat needlefish","068"
"Southern stargazer","699"
"Dusky anchovy","859"
"Mackerel and tuna uncl","860"
"Puddingwife","680"
"Atlantic stingray","373"
"Sheepshead","631"
"Banded butterflyfish","664"
"Combtooth blenny uncl","733"
"Queen triggerfish","834"
"Metallic codling","082"
"Blackmouthed alfonsin","261"
"Blue hake","081"
"Northern sennet","694"
"Crevalle jack","570"
"Striped mullet","689"
"Blue crab","314"
"Coarsehand lady crab","321"
"Conejo","127"
"Pompano dolphin","583"
"Atlantic sharpnose shark","360"
"Blacktip shark","357"
"Water haul","300"
"Whiff uncl","866"
"Flat anchovy","430"
"Atlantic bonito","123"
"Striped bass","139"
"Beardless codling","070"
"Star drum","655"
"Atlantic sturgeon","380"
"Keelcheek bass","137"
"Epigonus pandionis","144"
"Rough sagre","008"
"Deepwater dab","098"
"Freckled stargazer","725"
"High-hat","647"
"Black drum","147"
"Whiting uncl","086"
"Silver anchovy","865"
"Hatchetfish uncl","252"
"Swimming crab uncl","320"
"Bathyal swimming crab","517"
"Galatheid uncl","319"
"Blackline tilefish","562"
"Northern tonguefish","826"
"Lightfish uncl","887"
"Silver jenny","599"
"Florida pompano","579"
"Smallmouth flounder","117"
"Humboldts lanternfish","053"
"Sculpin uncl","160"
"Smoothhead scorpionfish","755"
"Hygophum taaningi","057"
"Sheepshead porgy","636"
"Rainbow runner","574"
"Houndfish","215"
"Atlantic salmon","894"
"Oyster toadfish","185"
"Offshore tonguefish","797"
"Gonostoma atlanticum","234"
"Bigeye cigarfish","876"
"Threebeard rockling","085"
"Ridged slipper lobster","302"
"Longnose cusk-eel","868"
"Lesser electric ray","367"
"Spotted seatrout","645"
"Gag","541"
"Shoal flounder","791"
"Barbfish","754"
"Horned searobin","762"
"Brown rock shrimp","316"
"Fringed flounder","785"
"Northern shortfin squid egg mops","519"
"Hermit crab uncl","335"
"Sea urchin and sand dollar uncl","331"
"Sand dollar uncl","330"
"Spottedfin tonguefish","798"
"Channel flounder","792"
"Pearlfish","462"
"Blotched swimming crab","516"
"Mottled cusk-eel","457"
"Horned whiff","780"
"Sargassumfish","448"
"Spotted goatfish","656"
"Porcupinefish","850"
"Striped grunt","878"
"Fringed filefish","836"
"Roughback batfish","451"
"Blackbar soldierfish","482"
"Sergeant major","669"
"Silk snapper","593"
"Striated argentine","856"
"Longsnout butterflyfish","864"
"Spotfin mojarra","872"
"Calico crab uncl","315"
"Barracuda uncl","620"
"Almaco jack","578"
"Southern flounder","789"
"Bar jack","572"
"Southern hake","455"
"Red cornetfish","489"
"Smooth hammerhead shark","366"
"Atlantic surfclam","403"
"Pipefish seahorse uncl","421"
"Shrimp (pink","BROWN"
"Arrow squid","505"
"Northern stargazer","179"
"Sand seatrout","644"
"Dotterel filefish","830"
"Mantis shrimp uncl","323"
"Gulf flounder","788"
"Knobbed porgy","635"
"Emerald parrotfish","685"
"Blue tang","742"
"Spotted soapfish","895"
"Yellowmouth grouper","524"
"Ocellated frogfish","445"
"Shortwing searobin","871"
"Bigeye soldierfish","483"
"Squirrelfish uncl","485"
"Spinycheek scorpionfish","751"
"Twospot flounder","873"
"Butterflyfish uncl","855"
"Iceland scallop","340"
"Shortfin mako","352"
"Manta","272"
"Loggerhead seaturtle","950"
"Hunchback scorpionfish","756"
"Silverside uncl","423"
"Littlehead porgy","637"
"Carolina hake","454"
"Yellowfin bass","500"
"Honeycomb moray","870"
"Bank butterflyfish","660"
"Caribbean spiny lobster","304"
"School bass","523"
"Red hind","534"
"Balloonfish","849"
"Blackfin goosefish","897"
"Creole wrasse","674"
"Snowy grouper","537"
"Snake mackerel uncl","822"
"White marlin","708"
"Cottonmouth jack","898"
"Red dory","899"
"Barracudina uncl","896"
"Red barbier","539"
"Roughtongue bass","544"
"Lophiiform uncl","900"
"Mutton snapper","586"
"Longnose anchovy","890"
"Dwarf goatfish","657"
"Largescale lizardfish","433"
"Red grouper","535"
"Brown driftfish","891"
"Seaweed blenny","728"
"Clinid uncl","727"
"Longfin scorpionfish","753"
"Leopard toadfish","443"
"Crested blenny","730"
"Bay whiff","782"
"Streamer bass","546"
"American eel","384"
"Northern stone crab","324"
"Goby uncl","739"
"Broad flounder","790"
"Flamefish","558"
"Chain pipefish","495"
"Blacknose shark","354"
"Ocean sunfish","265"
"Rough silverside","475"
"Spotted tinselfish","617"
"Blackear bass","549"
"Fourspine stickleback","488"
"Red hogfish","675"
"Damselfish uncl","619"
"Jambeau","829"
"Bulleye","616"
"Margined flyingfish","463"
"Thresher shark","925"
"Snow crab","325"
"Polymetme thaeocoryla","237"
"Wenchman","595"
"Basking shark","006"
"Northern horsemussel","342"
"Atlantic calico scallop","404"
"Gray flounder","786"
"Dolphin","584"
"Blueline tilefish","621"
"Broadband dogfish","601"
"Dwarf sand perch","529"
"Lesser amberjack","877"
"Bristled longbeak","296"
"Pink glass shrimp","292"
"Pandalus propinquus","298"
"Sevenspine bay shrimp","287"
"Aesop shrimp","297"
"Goldface tilefish","622"
"Spinycheek soldierfish","477"
"Longspine squirrelfish","480"
"Harbor porpoise","964"
"Laemonema barbatulum","867"
"Polar lebbeid","294"
"Brown shrimp","913"
"Permit","580"
"Ocean triggerfish","835"
"Striped bonito","938"
"Greenland halibut","099"
"Slickhead uncl","039"
"Spiny lebbeid","293"
"Yellowedge grouper","533"
"Spotted burrfish","848"
"Shield bobtail","508"
"Bobtail uncl","506"
"Common octopus","511"
"Glasseye snapper","556"
"Speckled swimming crab","518"
"Spoonarm octopus","512"
"Lesser shining bobtail","507"
"Mooneye cusk-eel","869"
"Black gemfish","227"
"Boarfish uncl","422"
"Ruppell's abralia","509"
"Squalidae","600"
"Anglefin whiff","882"
"Leatherjack","577"
"Blunthead puffer","880"
"Flying halfbeak","466"
"Box crab uncl","339"
"Ladyfish","381"
"Longfin squid egg mops","520"
"Friendly blade shrimp","295"
"Gulf kingfish","653"
"Gladiator box crab","604"
"Arctic eualid","291"
"Unknown 01","978"
"Unknown 02","979"
"Snailfish and lumpfish uncl","249"
"Big roughy","268"
"Vinciguerria sp","236"
"Unknown 03","980"
"Sand tilefish","624"
"Sand lance american","734"
"Cardinal soldierfish","484"
"Norwegian shrimp","299"
"Eelpout uncl","267"
"Squid cuttlefish and octopod uncl","501"
"Trunkfish","840"
"Scallop sea clapper","400"
"Punctate blade shrimp","285"
"Royal red shrimp","910"
"Shortspine boarfish","486"
"Unknown 04","981"
"Saddle bass","551"
"Little tunny","743"
"Pink shrimp","914"
"Silky shark","355"
"Unknown 05","982"
"Flyingfish atlantic","465"
"Trash","998"
"Leatherback seaturtle","952"
"Angelfish gray","668"
"Unknown 06","983"
"Snake mackerel","874"
"Tarpon","382"
"Carcharhinus brevipinna (spinner shark)","931"
"Argopecten irradians (bay scallop)","402"
"Arctica islandica (ocean quahog)","409"
"Galeocerdo cuvier (tiger shark)","358"
"Hepatus epheliticus (calico box crab)","327"
"Asteroidea","332"
"Asterias rubens (boreal asterias)","333"
"Lamna nasus (porbeagle shark)","353"
"Auxis thazard (frigate mackerel)","702"
"Carcinus maenas (green crab)","326"
"Fenestraja plutonia (longtail skate)","924"
"Penaeus","307"
